Image 1540,Image 1544
18.423,0.595
7.241,2.146
3.927,1.263
2.865,0.941
1.176,3.621
3.621,2.991
2.777,4.048
2.193,6.871
3.741,2.991
2.026,1.996
0.674,3.393
4.521,1.263
1.506,5.463
15.831,4.799
3.105,13.835
1.01,3.811
0.768,2.56
3.244,4.881
4.521,2.679
4.055,5.051
2.484,3.88
1.347,2.823
2.842,3.393
3.384,3.274
1.287,1.488
1.506,2.662
1.813,2.104
,4.649
,4.261
,2.976
,2.679
,13.3
,1.906
,2.083
,3.205
,2.991
,3.584
,5.615
,0.893
,0.665
,2.543
,1.073
,16.796
,1.227
,3.164
,1.488
,2.808
,7.192
,3.811
,5.647
,4.658
,3.869
,6.135
,5.086
,3.274
,2.454
,2.146
,2.679
,4.167
,13.719
,5.647
,2.167
,2.167
,3.971
,0.893
,5.662
,1.882
,1.227
,0.665
,1.263
,1.488
,0.595
,0.893
,1.227
,2.267
,2.808
,3.584
,4.261
,3.633
,2.146
