Image 1316,Image 1535,Image 1549
1.761,2.432,1.953
2.559,1.961,4.832
1.693,1.72,1.562
2.37,2.308,1.235
2.839,4.088,1.562
0.984,4.16,2.975
2.49,1.923,3.051
2.055,2.308,2.344
2.092,0.769,1.953
2.521,1.216,1.235
3.387,1.538,1.562
2.027,0.86,2.344
1.587,1.154,0.873
1.857,1.72,0.391
1.783,1.586,0.552
2.559,1.923,0.873
3.112,2.432,1.105
1.682,3.004,1.172
2.677,1.216,0.781
1.392,1.586,0.873
1.114,1.154,0.781
1.575,1.961,0.873
1.148,1.961,0.781
2.395,2.176,0.873
3.822,1.538,1.657
1.815,1.72,0.781
2.12,1.923,1.235
2.244,1.387,0.391
1.761,3.286,0.781
2.784,3.172,1.172
6.102,1.923,1.562
4.096,2.58,3.494
2.304,1.088,2.844
2.559,1.154,1.172
1.392,2.071,1.611
1.378,1.72,0.781
1.06,2.071,1.747
2.092,1.538,1.611
1.537,1.538,1.172
1.857,1.923,1.562
1.949,2.929,0.873
1.939,3.004,1.953
2.521,2.176,1.172
2.201,3.004,1.172
1.499,3.101,1.172
2.567,1.586,1.172
1.575,1.961,0.781
1.499,0.769,0.781
1.433,1.923,0.781
1.378,2.308,2.376
1.623,2.72,1.172
4.152,1.923,1.172
2.926,1.961,0.781
2.007,3.101,1.172
1.587,3.172,1.172
4.058,2.72,0.873
2.641,2.432,2.376
0.88,1.154,0.873
1.392,1.216,1.172
1.419,3.101,6.176
1.419,1.586,3.601
1.587,1.538,1.562
1.587,2.071,1.408
1.392,0.769,1.172
0.984,1.586,1.235
1.419,5.231,3.149
2.798,1.923,1.562
1.761,1.961,5.002
1.968,1.586,1.235
1.939,2.8,2.344
1.419,1.088,1.953
1.587,0.769,1.562
1.67,1.586,1.235
1.392,2.432,1.657
1.693,0.86,1.657
1.857,2.463,0.781
1.867,2.243,1.562
2.092,1.72,1.235
1.378,3.628,1.992
2.129,1.538,1.953
1.181,2.432,1.105
1.693,2.308,2.104
1.968,1.923,1.172
3.877,1.586,1.172
1.245,1.586,1.172
1.968,2.071,0.873
1.433,1.216,1.172
1.815,2.243,0.781
2.201,2.58,1.562
1.761,1.088,1.562
2.559,1.216,1.747
1.693,0.86,0.781
2.37,1.387,1.611
2.839,2.071,1.172
0.984,1.387,0.781
2.49,1.961,2.104
2.055,2.339,1.172
2.092,2.243,1.747
2.521,3.546,0.781
3.387,1.538,1.172
2.027,2.176,0.781
1.587,1.72,1.172
1.857,3.004,2.344
1.783,3.44,2.278
2.559,2.58,1.992
3.112,2.432,1.408
1.682,2.432,1.992
2.677,1.923,0.781
1.392,3.101,1.953
1.114,3.004,1.611
1.575,1.632,1.611
1.148,8.946,2.376
