Image 0921,Image 1529
12.123,7.738
2.873,12.739
4.184,3.811
8.288,3.205
9.769,3.035
8.543,8.096
21.201,4.209
25.344,4.209
8.753,9.066
6.552,6.655
12.85,3.471
13.329,0.595
3.855,1.331
3.351,3.993
3.351,10.943
2.369,3.571
6.109,5.615
9.266,14.881
10.232,4.209
8.127,2.454
7.108,4.209
6.321,22.65
4.739,4.292
4.633,5.208
7.471,2.806
8.288,4.96
8.288,3.642
8.639,2.322
4.283,3.968
2.789,2.862
5.211,1.012
3.296,1.55
2.789,1.984
3.159,2.218
2.789,2.389
3.089,1.403
2.063,5.208
8.118,2.806
6.778,4.96
1.954,3.642
2.423,2.322
2.453,3.968
3.614,2.862
3.089,1.012
2.063,1.55
3.159,1.984
4.283,2.218
3.089,2.389
1.954,1.403
3.427,5.208
7.319,2.806
4.144,4.96
5.984,3.642
6.058,2.322
2.453,3.968
4.144,2.862
5.418,1.012
2.453,1.55
2.453,1.984
3.089,2.218
3.251,2.389
4.468,1.403
3.944,5.208
5.578,2.806
3.85,4.96
3.469,3.642
5.578,2.322
5.322,3.968
2.453,2.862
2.918,1.012
3.089,1.55
1.713,1.984
4.144,2.218
2.992,2.389
2.763,1.403
3.159,5.208
6.058,2.806
4.876,4.96
4.629,3.642
2.453,2.322
3.635,3.968
2.992,2.862
4.981,1.012
3.944,1.55
8.745,1.984
3.273,2.218
5.984,2.389
7.748,1.403
3.469,5.208
2.992,2.806
3.427,4.96
4.8,3.642
4.126,2.322
2.453,3.968
2.789,2.862
3.793,1.012
3.944,1.55
10.569,1.984
4.484,2.218
4.661,2.389
2.709,1.403
21.921,5.208
5.377,2.806
2.763,4.96
2.234,3.642
3.614,2.322
3.251,3.968
2.167,2.862
2.299,1.012
3.065,1.55
7.044,1.984
4,2.218
5.445,2.389
6.907,1.403
4.144,5.208
2.299,2.806
3.448,4.96
8.82,3.642
3.296,2.322
3.532,3.968
4.739,2.862
6.896,1.012
3.831,1.55
8.127,1.984
3.944,2.218
8.045,2.389
3.831,1.403
4.214,5.208
3.469,2.806
6.376,4.96
2.369,3.642
4.219,2.322
6.92,3.968
4.059,2.862
4.206,1.012
3.427,1.55
3.614,1.984
2.668,2.218
7.392,2.389
2.33,1.403
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
2.369,
4.219,
6.92,
4.059,
4.206,
3.427,
3.614,
2.668,
7.392,
2.33,
2.52,
2.661,
1.713,
3.065,
3.427,
1.637,
2.369,
2.107,
5.176,
1.724,
2.423,
2.33,
2.93,
2.307,
1.459,
2.682,
3.089,
1.165,
2.184,
3.764,
6.92,
3.065,
1.916,
2.498,
3.469,
2.307,
2.52,
2.369,
3.279,
3.411,
2.577,
3.949,
6.705,
